综合练习题
（一）、单项或多项选择题（单项选择只有一个选项是正确的，多项选择不只有一个正确选项）

1、单选 搜索引擎营销中，营销是？
30、单选 广告效果层次模型是用来（）
A.评估营销沟通效果
B. 检查营销沟通效果
C. 查看广告效果
D. 评估广告效果
答案: A

31、单选 有关营销沟通基本要素的知识是
A. 5W1H
B. SEM
C. SEO
D. UEO
答案: A

32、单选 广告有可能提升用户的（）价值
A. 感官
B. 感想
C. 感知
D. 认识
答案: C

33、单选 销售促进这种方式称为（）
A. 销售
B. 直销
C. 经销
D. 促销
答案: D

34、单选 购物是一个（）的过程
A. 决策
B. 思考
C. 对比
D. 比较A
答案: 

35、单选 经过经销商等面对消费者的销售叫做
A. 直销 
B. 营销
C. 销售
D. 促销A
答案: 

36、单选 评价信息能否满足网民搜索需求的指数叫做
A. 搜索指数
B. 满意度
C. 质量满意度
D. 质量度
答案: D

37、多选 质量度是由哪些因素决定的
A. 关键词点击率
B. 账户点击率
C. 广告内容
D. 关键词
答案: AC

38、多选 综合排名指数等于（）乘以（）
A. 出价
B. 质量度
C. 关键词
D. 满意度
答案: 
	出价
	质量度

39、单选 百度凤巢系统前身叫做
A. 百度十分系统
B. 百度推广系统
C. 百度搜索引擎系统
D. 百度沙盒系统
答案: A

40、单选 百度搜索引擎营销后台称为
A. 百度蜂巢系统
B. 百度凤巢系统
C. 百度推广系统
D. 百度搜索引擎系统
答案: B

41、单选 如果把搜索引擎比作“布满脚印的雪地”那么脚印就是
A. 关键词
B. 网页
C. 数据
D. 点击率
答案: C

42、单选 用户记不住域名产生的搜索叫做
A. 导航型搜索
B. 信息检索型搜索
C. 交易型搜索
D. 模糊搜索
答案: A

43、单选 用户对某些信息产生的搜索称为
A. 信息检索型搜索
B. 导航型搜索
C. 交易型搜索
D. 精准搜索
答案: A

44、单选 为了达到某种交易产生的搜索称为
A. 交易型搜索
B. 信息检索型搜索
C. 导航型搜索
D. 交易搜索
答案: A

45、单选 Query是搜索引擎中的
A. 创意
B. 关键词
C. 着陆页
D. 词语
答案: B

46、单选 戴明环的发明者戴明是哪国人
A. 中国
B. 日本
C. 美国
D. 意大利
答案: B

47、单选 不属于戴明环的是
A. 计划
B. 执行
C. 优化
D. 完成
答案: D

48、单选 SEM实际上是一个（）的过程
A. 管理
B. 计划
C. 执行
D. 销售A
答案: 

49、多选 网民的搜索过程包括
A. 搜索词
B. 点击文字链
C. 访问网站
D. 转化
答案: ABCD

50、多选 推广时段的影响因素有
A. 受众的搜索习惯
B. 预算有限
C. 公司运营
D. 市场地域限制
答案: ABCD

51、单选 投放地域可以精确到（）级别
A. 省
B. 县
C. 乡
D. 地级市
答案: D

52、多选 精细化投放包括什么功能
A. 投放地域
B. 每日消费限额
C. 推广时段
D. IP排除
答案: ABCD

53、多选 创意展现规则包括
A. 优选
B. 轮替
C. 精确
D. 出价
答案: AB

54、单选 创意只能针对（）去撰写
A. 单元
B. 关键词
C. 短语
D. 着陆页
答案: A

55、多选 否定匹配可以分为
A. 否定匹配
B. 精确否定匹配
C. 短语匹配
D. 广泛匹配
答案: A

56、单选 网民通过搜索引擎搜索的词语叫做
A. 关键词
B. 搜索词
C. 短语
D. 词语
答案: B

57、单选 关键词与搜索词语义相近的匹配方式叫做
A. 短语匹配
B. 精确匹配
C. 广泛匹配
D. 否定匹配
答案: C

58、单选 搜索词包含关键词的匹配方式叫做
A. 短语匹配
B. 精确匹配
C. 广泛匹配
D. 否定匹配
答案: A

59、单选 关键词与搜索词完全一致的匹配方式叫做
A. 短语匹配
B. 精确匹配
C. 广泛匹配
D. 否定匹配
答案: B

60、多选 匹配方式包括
A. 精确匹配
B. 短语匹配
C. 广泛匹配
D. 否定匹配
答案: ABCD

61、多选 关键词的原则包括
A. 覆盖
B. 干净
C. 价格低
D. 价格高
答案: AB

62、多选 关键词选择中用户可以分为
A. 目标用户
B. 直接用户
C. 潜在用户
D. 新用户
答案: ABC

63、多选 一般来说企业的营销诉求来自
A. 品牌导向
B. 价值导向
C. 效果导向
D. 目标导向
答案: ABCD

64、单选 选择关键词的目的是
A. 获取与用户对话机会
B. 销售
C. 推广
D. 获得点击
答案: A

65、单选 对于企业来说SEM方案内容不包括
A. 关键词
B. 出价
C. 创意
D. 点击
答案: D

66、单选 恶意点击数据会记录在（）报告中
A. 无效点击报告
B. 恶意点击报告
C. 无用点击报告
D. 非法点击报告
答案: A

67、多选 凤巢报告的点击质量和网站统计点击量不同步可能是
A. 网页加载不全
B. URL错误
C. 恶意点击
D. 出价太低
答案: ABC

68、单选 一般而言，网站着陆页统计代码放在（）
A. 底部
B. 中部
C. 开头
D. 左侧
答案: A

69、单选 凤巢报告的点击质量（）网站统计点击量
A. 大于
B. 小于
C. 等于
D. 大于等于
答案: D

70、单选 核心关键词的展现通过展现
A. 上线报告
B. 检查报告
C. 展现报告
D. 核查报告
答案: A

71、多选 核心关键词无法展现在左侧的原因是有可能
A. 质量度过高
B. 质量度过低
C. 出价过高
D. 出价过低
答案: 
	质量度过低
	出价过低

72、多选 核心关键词包括
A. 品牌词
B. 产品词
C. 地域词
D. 活动词
答案: ABCD

73、多选 账户设置包括
A. 预算
B. 地域
C. 时段
D. 出厂设置
答案: ABC

74、单选 创意的正常状态显示为（）
A. 有效
B. 正常
C. 可推广
D. 通过
答案: A

75、单选 状态显示“搜索无效”意味着
A. 价格太低
B. 没有这个词
C. 审核不通过
D. 非法词语
答案: A

76、单选 物料审核通过，在系统中显示（）
A. 通过
B. 可推广
C. 有效
D. 适合推广
答案: C

77、单选 物料审核没有被通过，系统显示（）
A. 未通过
B. 不宜推广
C. 不通过
D. 不能推广
答案: B

78、单选 SEM网页端工具是否支持离线操作？
A. 支持
B. 不支持
答案: B

79、单选 适合大型账户（千万级别）的工具是
A. 网页端
B. 百度推广助手
C. SEM助手
D. 百度API
答案: D

80、多选 SEM方案上线工具包括
A. 网页端
B. 百度推广助手
C. SEM助手
D. 百度API
答案: ABCD

81、单选 SEM方案实施第一个环节是
A. 上线
B. 调整
C. 优化
D. 测试
答案: A

82、单选 关键词再管理处于哪个阶段
A. 初期管理阶段
B. 测试期管理阶段
C. 稳定期管理阶段
D. 后期阶段
答案: C

83、单选 点击率与质量度的管控处于哪个阶段
A. 初期管理阶段
B. 测试期管理阶段
C. 稳定期管理阶段
D. 后期阶段
 答案: B

84、单选 物料审核与生效处于哪个阶段
A. 初期管理阶段
B. 测试期管理阶段
C. 稳定期管理阶段
D. 后期阶段
答案: A

85、多选 SEM方案实施过程包括
A. 初期管理阶段
B. 测试期管理阶段
C. 稳定期管理阶段
D. 后期阶段
答案: ABC

86、单选 在推广时段管理中不能实现以下哪项推广需求：
A. 每月最后一周不进行推广
B. 每周一到周五进行推广
C. 周六周日全天不进行推广
D. 每周一至周三10点上线，周四至周日9点上线
答案: A

87、单选 当账户中余额不够一次点击时，推广信息也会展现，直到余额为0为止，且下次充值是会扣除多消费的金额：
A. 对
B. 错
答案: B

88、单选 下面哪个不是影响质量度的因素：
A. 关键词的点击率
B. 关键词的出价
C. 创意撰写质量
D. 账户表现
答案: B

89、单选 质量度是影响排名和价格的重要原因，在百度推广过程中通常质量度最好的是：
A. 1颗星
B. 4颗星
C. 3颗星
D. 2颗星
答案: C

90、单选 关于营销与销售下面说法正确的是：
A. 销售包含了营销，比营销的范围更大
B. 销售意味着你根本没有商品的时候去买这个商品
C. 营销包含了市场调查、产品策略制定、定价、渠道等
D. 销售=经营+营销
答案: C

91、单选 以下关于匹配模式的撰写格式，说法正确的是：
A. 港澳游表示精确匹配
B. [港澳游]表示精确匹配
C. [港澳游]表示广泛匹配
D. “港澳游”表示广泛匹配
答案: B

92、单选 推广计划名称最多可以输入30个汉字：
A. 对
B. 错
答案: B

93、单选 关键词次日生效的时间是：
A. 上午9:00
B. 上午8:00
C. 次日凌晨
D. 上午7:00
答案: D

94、单选 下面说法错误的是：
A. {}大括号表示广泛匹配
B. []中括号表示关键词精确匹配
C. “”双引号表示关键词是短语匹配
D. 什么都不加表示广泛匹配
答案: A

95、单选 禁止非授权账户在创意和关键词中添加企业申请保护的品牌字眼：
A. 对
B. 错
答案: A

96、单选 AIDMA模型和AISAS模型说法不正确的是：
A. AIDMA存在近百年，一直都是不变的真理
B. AISAS模型指的是关注-兴趣-搜索-购买-分享
C. 互联网时代AISAS已经超越了AIDMA模型，成为新的主导
D. AIDMA模型指的是关注-兴趣-渴望-记忆-购买
答案: A

97、多选 出现不能推左的原因有哪些：
A. 审核问题
B. 质量度偏低
C. 排名过低
D. 创意未撰写
答案: ABC

98、多选 出现无点击关键词的可能原因的是：
A. 排名靠后
B. 对应关键词没人搜索
C. 没有展现
D. 创意不够吸引人
答案: AD

99、多选 本次点击费用的计算公式，下面正确的是：
A. 本次点击费用=下一名的综合排名指数/自己的质量度+0.01
B. 本次点击费用=下一名最高出价/下一名的质量度自己的质量度+0.01
C. 本次点击费用=下一名的综合排名指数自己的质量度+0.01
D. 本次点击费用=下一名最高出价下一名的质量度/自己的质量度+0.01
答案: AD

100、多选 推广商户可以从以下哪些方面对质量度进行优化：
A. 提高关键词出价
B. 提高创意与关键词的相关性
C. 在账户内添加热门、检索量高的关键词
D. 设置合理的账户结构
答案: BD





单元测验1

试题 1
（）指以竞价的方式拍卖搜索结果排名的行为。
正确答案是：竞价排名

试题 2
属于营销的是 （　）
选择一项：
a. 神经营销
b. 网络营销
c. 精神营销
d. 核磁营销
正确答案是：网络营销

试题 3
搜索引擎营销属于经营中的那个环节（　）
选择一项：
a. 定价
b. 产品策略
c. 营销沟通
d. 渠道
正确答案是：营销沟通

试题 4
搜索引擎营销中搜索引擎是（）
选择一项：
a. 工具
b. 结果
c. 过程
d. 目的
正确答案是：工具

试题 5
在网络爬虫的爬行策略中，应用最为基础的是（）
选择一项或多项：
a. 广度优先遍历策略
b. 反向链接策略
c. 高度优先遍历策略
d. 深度优先遍历策略
正确答案是：深度优先遍历策略, 广度优先遍历策略

试题 6
搜索引擎检索器的功能是根据用户的查询在索引库中快速检索文档，进行相关度评价，对将要输出的结果排序，并能按用户的查询需求合理反馈信息。
选择一项：
对
错
正确答案是“对”。

试题 7
下列关于基于大数据的营销模式和传统营销模式的说法中，错误的是 （ ）
选择一项或多项：
a. 基于大数据的营销模式比传统营销模式实时性更强
b. 传统营销模式比基于大数据的营销模式针对性更强
c. 传统营销模式比基于大数据的营销模式投入更小
d. 传统营销模式比基于大数据的营销模式转化率低
正确答案是：传统营销模式比基于大数据的营销模式投入更小, 传统营销模式比基于大数据的营销模式针对性更强

试题 8
定位是营销的（）
选择一项：
a. 决定
b. 战术
c. 决策
d. 战略
正确答案是：战略

试题 9
网络消费者的动机产生主要来自两个方面的诱因，一是消费者内在的需要，一是外在的诱因。
选择一项：
对
错
正确答案是“对”。

试题 10
超链接分析法，指一个网页被链接的次数越多，而且链接的站点越权威，则说明此网页的质量越高。
选择一项：
对
错
正确答案是“对”。

试题 1
随着参与统一关键字广告投放的网站增多，每一点击所产生的费用也会变得越来（）。
正确答案是：越高

试题 2
"营销的最终目的是使销售称为多余”这句话是（）说的。
正确答案是：彼得德鲁克

试题 3
营销的本质是 （ ）
选择一项：
a. 实现自我价值
b. 获得利益
c. 帮助消费者解决问题
d. 用户需求
正确答案是：帮助消费者解决问题

试题 4
从消费者出发（）能直接影响消费者的行为
选择一项：
a. 感受
b. 感觉
c. 感官
d. 感知
正确答案是：感知

试题 5
"营销的最终目的是使销售称为多余”这句话是谁说的 （　）
选择一项：
a. 彼得德鲁克
b. 法拉第
c. 爱迪生
d. 法约尔
正确答案是：彼得德鲁克

试题 6
内容展现多，点击少，说明内容与客户不搭，需要调整内容。
选择一项：
对
错
正确答案是“对”。

试题 7
消费者网上购物行为的影响因素有心理因素和外界因素。
选择一项：
对
错
正确答案是“对”。

试题 8
搜索引擎检索器的作用是接收用户查询、显示查询结果、提供个性化查询项。
选择一项：
对
错
正确答案是“错”。

试题 9
在网络消费者，消费者表现出来一些新的需求，比如兴趣的满足。
选择一项：
对
错
正确答案是“对”。

试题 10
STP中的P指的是（）。
正确答案是：市场定位

试题 1
以关键字广告方式开展搜索引擎营销，（），见效快。
正确答案是：费用低

试题 2
当前，大数据产业发展的特点是（）

选择一项或多项：
a. 增速很快
b. 规模较大
c. 增速缓慢
d. 多产业交叉融合
正确答案是：规模较大, 增速很快, 多产业交叉融合

试题 3
营销是通过改变人类的（）来改变人们的行为
选择一项：
a. 感觉
b. 认识
c. 认知
d. 意识
正确答案是：认知

试题 4
搜索引擎最基本的工作就是搜索引擎（）。
正确答案是：收录页面

试题 5
以关键字广告方式开展搜索引擎营销，费用低，（）。
正确答案是：见效快

试题 6
搜索引擎营销方法可以归纳为三种形式,即（）
选择一项或多项：
a. 广告策划
b. 搜索引擎登录和排名
c. 搜索引擎优化
d. 关键字广告
正确答案是：搜索引擎登录和排名, 搜索引擎优化, 关键字广告

试题 7
搜索引擎检索器的功能是理解搜索器所搜索到的信息，从中抽取索引项，用于表示文档以及文档库的索引表。
选择一项：
对
错
正确答案是“错”。

试题 8
网络消费者的购买过程先后顺序为：需求的诱发，信息搜索，购买决策，比较选择，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 9
网页级别中（）是最高级别。
正确答案是：10

试题 10
4C理论是（）提出的
选择一项：
a. 德鲁克
b. 法约尔
c. 福特
d. 罗伯特
正确答案是：罗伯特

试题 1
属于马斯洛需要层次理论的是 （ ）
选择一项：
a. 未来需要
b. 身心需要
c. 自我感觉需要
d. 安全需要
正确答案是：安全需要

试题 2
营销的使命是 （ ）
选择一项：
a. 自我实现
b. 获利
c. 满足于用户的需求
d. 品牌
正确答案是：满足于用户的需求

试题 3
有购买力的欲望叫做（）。
正确答案是：需求

试题 4
不属于营销中经营环节的是（　）
选择一项：
a. 售卖
b. 市场调查
c. 产品策略
d. 定价
正确答案是：售卖

试题 5
满足于用户的需求是营销的（）。
正确答案是：使命

试题 6
利用核磁共振，脑电图技术探究大脑的工作原理和消费者行为的营销方式称为（）。
正确答案是：神经营销

试题 7
广告效果层次模型是用来（）
选择一项：
a. 评估广告效果
b. 评估营销沟通效果
c. 检查营销沟通效果
d. 查看广告效果
正确答案是：评估营销沟通效果

试题 8
营销沟通形式 （ ）
选择一项：
a. 公关
b. 量大
c. 微信
d. 微博
正确答案是：公关

试题 9
在网络消费者，消费者表现出来一些新的需求，比如交流的需要。
选择一项：
对
错
正确答案是“对”。

试题 10
搜索引擎分析器的功能是在互联网中漫游，发现和搜集信息。
选择一项：
对
错
正确答案是“对”。

试题 1
马斯洛需要层次论中最底层的是 （　）
选择一项：
a. 自我实现需要
b. 安全需要
c. 生理需要
d. 自尊需要
正确答案是：生理需要

试题 2
搜索引擎营销英文缩写是（）。
正确答案是：SEM

试题 3
有购买力的欲望叫做 （ ）
选择一项：
a. 需求
b. 欲望
c. 必须
d. 需要
正确答案是：需求

试题 4
营销应该以（）为导向
选择一项：
a. 产品
b. 顾客
c. 盈利
d. 售后
正确答案是：顾客

试题 5
马斯洛需要层次论中最高层次的是（）需要。
正确答案是：自我实现

试题 6
不属于口碑营销特征的是（ ）
选择一项：
a. 植入
b. 好品牌
c. 质化
d. 量大
正确答案是：好品牌

试题 7
PageRank是Google搜索引擎中一种链接分析算法。
选择一项：
对
错
正确答案是“对”。

试题 8
网络消费者的购买过程先后顺序为：信息搜索，需求的诱发，比较选择，购买决策，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 9
关键词广告是付费搜索引擎营销的主要形式。
选择一项：
对
错
正确答案是“对”。

试题 10
script指令有两种，一种是基于（）端的，一种是基于服务器端的。
正确答案是：浏览器

试题 1
马斯洛需要层次论中最底层的是（）需要。
正确答案是：生理

试题 2
搜索引擎营销中，营销是（ ）
选择一项：
a. 过程
b. 结果
c. 目的
d. 环节
正确答案是：目的

试题 3
随着参与统一关键字广告投放的网站（），每一点击所产生的费用也会变得越来越高。
正确答案是：增多

试题 4
产生无效点击的主要原因有来自（）的恶意点击、广告与自然搜索结果混淆而导致的无效点击。
正确答案是：竞争对手

试题 5
产生无效点击的主要原因有来自竞争对手的恶意点击、广告与（）结果混淆而导致的无效点击。
正确答案是：自然搜索

试题 6
关键词广告可以根据统计的关键词情况和竞争对手情况来调整自己的广告策略。
选择一项：
对
错
正确答案是“对”。

试题 7
利用核磁共振，脑电图技术探究大脑的工作原理和消费者行为的营销方式称为（ ）
选择一项：
a. 神经营销
b. 核磁营销
c. 脑电图营销
d. 精神营销
正确答案是：神经营销

试题 8
网络消费者的购买过程先后顺序为：信息搜索，比较选择，需求的诱发，购买决策，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 9
下列关于数据生命周期管理的核心认识中，正确的是 （ ）
选择一项或多项：
a. 根据数据价值的不同应该对数据采取不同的管理策略
b. 数据生命周期管理最终关注的是社会效益
c. 数据从产生到被删除销毁的过程中，具有多个不同的数据存在阶段
d. 在不同的数据存在阶段，数据的价值是不同的
正确答案是：数据从产生到被删除销毁的过程中，具有多个不同的数据存在阶段, 在不同的数据存在阶段，数据的价值是不同的, 根据数据价值的不同应该对数据采取不同的管理策略

试题 10
PR是（ ）的简称
选择一项：
a. PageRound
b. PageRank
c. PagemakerRank
d. PartRank
正确答案是：PageRank

试题 1
帮助消费者解决问题是营销的（）。
正确答案是：本质

试题 2
产生无效点击的主要原因有来自竞争对手的恶意点击、（）与自然搜索结果混淆而导致的无效点击。
正确答案是：广告

试题 3
搜索引擎营销英文缩写是（ ）
选择一项：
a. SEM
b. SMO
c. SEO
d. UEO
正确答案是：SEM

试题 4
在网络爬虫的爬行策略中，应用最为基础的是（）
选择一项或多项：
a. 反向链接策略
b. 高度优先遍历策略
c. 深度优先遍历策略
d. 广度优先遍历策略
正确答案是：深度优先遍历策略, 广度优先遍历策略

试题 5
营销的使命是 （ ）
选择一项：
a. 品牌
b. 满足于用户的需求
c. 自我实现
d. 获利
正确答案是：满足于用户的需求

试题 6
搜索引擎用户接口的功能是在互联网中漫游，发现和搜集信息。
选择一项：
对
错
正确答案是“错”。

试题 7
网络消费者的购买过程先后顺序为：信息搜索，购买决策，比较选择，需求的诱发，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 8
网络消费者的购买过程先后顺序为：需求的诱发，购买决策，信息搜索，比较选择，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 9
搜索引擎索引器的功能是在互联网中漫游，发现和搜集信息。
选择一项：
对
错
正确答案是“错”。

试题 10
付费竞争法，指以网站付费的多少来决定排名前后。
选择一项：
对
错
正确答案是“对”。

试题 1
有购买力的欲望叫做 （ ）
选择一项：
a. 欲望
b. 必须
c. 需要
d. 需求 
正确答案是：需求

试题 2
产生无效点击的主要原因有来自竞争对手的恶意点击、（）广告
与自然搜索结果混淆而导致的无效点击。
正确答案是：广告

试题 3
搜索引擎营销英文缩写是（ ）
选择一项：
a. SMO
b. SEM 
c. UEO
d. SEO
正确答案是：SEM

试题 4
不属于营销中经营环节的是（　）
选择一项：
a. 售卖 
b. 市场调查
c. 定价
d. 产品策略
正确答案是：售卖

试题 5
（）竞价排名
指以竞价的方式拍卖搜索结果排名的行为。
正确答案是：竞价排名

试题 6
搜索引擎用户接口的作用是接收用户查询、显示查询结果、提供个性化查询项。
选择一项：
对
错
正确答案是“对”。

试题 7
直接面向消费者进行销售叫做（）。
正确答案是：营销

试题 8
搜索引擎索引器的功能是根据用户的查询在索引库中快速检索文档，进行相关度评价，对将要输出的结果排序，并能按用户的查询需求合理反馈信息。
选择一项：
对
错
正确答案是“错”。

试题 9
关键词广告形式比较简单，通常是文字广告。
选择一项：
对
错
正确答案是“对”。

试题 10
不属于4P理论的是 （ ）
选择一项：
a. 价格
b. 产品
c. 售后
d. 渠道
正确答案是：售后

试题 1
营销是通过改变人类的（）来改变人们的行为
选择一项：
a. 意识
b. 感觉
c. 认知 
d. 认识
正确答案是：认知

试题 2
马斯洛需要层次论中最高层次的是（）自我实现
需要。
正确答案是：自我实现

试题 3
以关键字广告方式开展搜索引擎营销，（）费用低
，见效快。
正确答案是：费用低

试题 4
随着参与统一关键字广告投放的网站增多，每一点击所产生的费用也会变得越来（）越高
。
正确答案是：越高

试题 5
"营销的最终目的是使销售称为多余”这句话是谁说的 （　）
选择一项：
a. 法拉第
b. 爱迪生
c. 法约尔
d. 彼得德鲁克 
正确答案是：彼得德鲁克

试题 6
PageRank是CLEVER搜索引擎中一种链接分析算法。
选择一项：
对
错
正确答案是“错”。

试题 7
广告没有被点击，但是人们看到了，同样有效果的，可以记一次展现。
选择一项：
对
错
正确答案是“对”。

试题 8
HITS（Hyperlink Induced Topic Search） 是CLEVER搜索引擎中的链接分析算法。
选择一项：
对
错
正确答案是“对”。

试题 9
文字广告主要包括（）等因素。
选择一项或多项：
a. 广告标题
b. 网址
c. 图片
d. 简介
正确答案是：广告标题, 简介, 网址

试题 10
在网络消费者，消费者表现出来一些新的需求，比如聚集的需要。
选择一项：
对
错
正确答案是“对”。

试题 1
有购买力的欲望叫做（）。
正确答案是：需求

试题 2
搜索引擎营销中搜索引擎是（）
选择一项：
a. 工具
b. 目的
c. 结果
d. 过程
正确答案是：工具

试题 3
马斯洛需要层次论中最底层的是（）需要。
正确答案是：生理

试题 4
营销应该以（）为导向
选择一项：
a. 顾客
b. 产品
c. 盈利
d. 售后
正确答案是：顾客

试题 5
满足于用户的需求是营销的（）。
正确答案是：使命

试题 6
网页级别是（ ）
选择一项：
a. 10
b. 0
c. 0
d. 30
e. 0
f. 20
g. 40
h. 0
正确答案是：0

试题 7
关键词广告可以随时查看流量统计和费用情况。
选择一项：
对
错
正确答案是“对”。

试题 8
（）决定价格
选择一项：
a. 目标市场
b. 市场
c. 市场细分
d. 定位
正确答案是：定位

试题 9
STP中的S指的是（ ）
选择一项：
a. 市场
b. 目标市场选择
c. 市场细分
d. 定位
正确答案是：市场细分

试题 10
网络消费者的购买过程先后顺序为：购买决策，信息搜索，比较选择，需求的诱发，购后评价。
选择一项：
对
错
正确答案是“错”。

试题 1
马斯洛需要层次论中最底层的是 （　）
选择一项：
a. 安全需要
b. 自我实现需要
c. 自尊需要
d. 生理需要
正确答案是：生理需要

试题 2
搜索引擎营销英文缩写是（）。
正确答案是：SEM

试题 3
搜索引擎营销中，营销是（ ）
选择一项：
a. 环节
b. 过程
c. 目的
d. 结果
正确答案是：目的

试题 4
以关键字广告方式开展搜索引擎营销，费用低，（）。
正确答案是：见效快

试题 5
营销的本质是 （ ）
选择一项：
a. 帮助消费者解决问题
b. 获得利益
c. 实现自我价值
d. 用户需求
正确答案是：帮助消费者解决问题

试题 6
不属于4C的是 （ ）
选择一项：
a. 价格
b. 消费者
c. 便利
d. 成本
正确答案是：价格

试题 7
网页级别中（）是最低级别。
正确答案是：0

试题 8
（）决定价格 。
正确答案是：定位

试题 9
STP中的S指的是（）。
正确答案是：市场细分

试题 10
影响价格制定的因素有（）
选择一项：
a. 市场
b. 渠道
c. 定位
d. 需求
正确答案是：需求

试题 1
属于营销的是 （　）
选择一项：
a. 网络营销
b. 核磁营销
c. 神经营销
d. 精神营销
正确答案是：网络营销

试题 2
帮助消费者解决问题是营销的（）。
正确答案是：本质

试题 3
从消费者出发（）能直接影响消费者的行为
选择一项：
a. 感知
b. 感觉
c. 感受
d. 感官
正确答案是：感知

试题 4
"营销的最终目的是使销售称为多余”这句话是（）说的。
正确答案是：彼得德鲁克

试题 5
产生无效点击的主要原因有来自（）的恶意点击、广告与自然搜索结果混淆而导致的无效点击。
正确答案是：竞争对手

试题 6
点击率法，指网页被点击的次数越多，则相关度越高。
选择一项：
对
错
正确答案是“对”。

试题 7
病毒营销属于（）
选择一项：
a. 微信营销
b. 微博营销
c. 口碑营销
d. 事件营销
正确答案是：口碑营销

试题 8
网络消费者的购买过程先后顺序为：需求的诱发，信息搜索，比较选择，购买决策，购后评价。
选择一项：
对
错
正确答案是“对”。

试题 9
搜索引擎营销信息的搜索排名好坏，直接决定了点击率的多少，但是排名本身不是影响的因素，排名是效果的外在表现。
选择一项：
对
错
正确答案是“对”。

试题 10
HITS（Hyperlink Induced Topic Search） 是Google搜索引擎中的链接分析算法。
选择一项：
对
错
正确答案是“错”。
